key,en,fr,zh_Hans_CN,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
FOXLAB_TRANSFORM_VANILLA_ONLY_TOOLTIP,"Item Mask selects vannilla characters only, better for greenhand","Le Masque ne sélectionne que des personnages de base, idéal pour les débutants",面具的角色池仅包含原版角色，适合新手,マスクのキャラクタープールはバニラキャラクターのみ含まれ、初心者向け,"가면의 캐릭터 풀에 기본 캐릭터만 포함되며, 초보자에게 적합합니다",面具的角色池僅包含原版角色，適合新手,Маска выбирает только персонажей из базовой игры,Maska wybiera tylko podstawowe postacie,"La Máscara selecciona solo personajes del juego base, mejor para principiantes","A pool de personagens da Máscara contém apenas personagens vanilla, ideal para iniciantes",Die Maske wählt nur Standard-Charaktere,"Maskenin karakter havuzu yalnızca vanilla karakterleri içerir, yeni oyuncular için uygundur","La pool di personaggi della Maschera contiene solo personaggi vanilla, adatto ai principianti"
FOXLAB_TRANSFORM_VANILLA_ONLY,Vannilla only (applied immediately),Vanilla uniquement (appliqué immédiatement),仅原版角色（立即生效）,バニラキャラクターのみ（即時適用）,기본 캐릭터만 (즉시 적용),僅原版角色（立即生效）,Только базовые персонажи (применяется сразу),Tylko podstawowe postacie (zastosowane natychmiast),Solo personajes base (aplicado inmediatamente),Apenas personagens vanilla (aplicado imediatamente),Nur Standard-Charaktere (sofort angewendet),Yalnızca vanilla karakterler (hemen uygulanır),Solo personaggi vanilla (applicato immediatamente)
FOXLAB_DISABLE_ITEMS_TOOLTIP,"If banned, items occur only when a character forces it to",Si bannis,禁用后，只有角色强制召唤才会出现,禁止すると、キャラクターが強制的に出現させる場合のみアイテムが現れる,비활성화하면 캐릭터가 강제로 소환할 때만 아이템이 나타납니다,停用後，只有角色強制召喚才會出現,Если запрещено,Jeśli zablokowane,"Si se prohíbe, los objetos solo aparecen cuando un personaje lo fuerza",Se banidos os itens só aparecem quando um personagem os força,Wenn verboten,"Yasaklanırsa, eşyalar yalnızca bir karakter zorladığında görünür",Se banditi gli oggetti compaiono solo quando un personaggio li forza
FOXLAB_DISABLE_ITEMS,Ban FoxLab Items (restart game to apply),Bannir les objets FoxLab (redémarrez le jeu pour appliquer),禁用FoxLab道具（重启游戏生效）,FoxLabアイテムを禁止（ゲーム再起動で適用）,FoxLab 아이템 비활성화 (재시작 시 적용),停用FoxLab道具（重啟遊戲生效）,Запретить предметы FoxLab (требуется перезапуск),Zablokuj przedmioty FoxLab (wymaga restartu gry),Prohibir objetos de FoxLab (reiniciar el juego para aplicar),Banir itens FoxLab (reinicie o jogo para aplicar),FoxLab-Gegenstände verbieten (Neustart erforderlich),FoxLab Eşyalarını Yasakla (uygulamak için oyunu yeniden başlat),Bandisci oggetti FoxLab (riavvia il gioco per applicare)
FOXLAB_DISABLE_CHARACTERS_TOOLTIP,"If banned, only Faceless in FoxLab is selectable by player or Item Mask",Si bannis,禁用后，FoxLab角色中只有无面会出现在角色选择界面和面具的角色池,禁止すると、FoxLabキャラクターのうちフェイスレスのみがプレイヤーまたはマスクで選択可能になる,비활성화하면 FoxLab 캐릭터 중 무면만이 플레이어가 선택하거나 가면의 캐릭터 풀에 나타납니다,停用後，FoxLab角色中只有無面會出現在角色選擇介面和面具的角色池,Если запрещено,"Jeśli zablokowane, tylko Faceless z FoxLab jest dostępny dla gracza lub Maski","Si se prohíbe, solo Faceless de FoxLab es seleccionable por el jugador o la Máscara",Se banidos apenas o Sem Rosto do FoxLab pode ser selecionado pelo jogador ou pela Máscara,"Wenn verboten, ist nur Faceless aus FoxLab durch den Spieler oder die Maske wählbar","Yasaklanırsa, FoxLab karakterlerinden yalnızca Yüzsüz oyuncu veya Maske Eşyası tarafından seçilebilir",Se banditi solo Senzavolto di FoxLab è selezionabile dal giocatore o dalla Maschera
FOXLAB_DISABLE_CHARACTERS,Ban FoxLab Characters(restart game to apply),Bannir les personnages FoxLab (redémarrez le jeu pour appliquer),禁用FoxLab角色（重启游戏生效）,FoxLabキャラクターを禁止（ゲーム再起動で適用）,FoxLab 캐릭터 비활성화 (재시작 시 적용),停用FoxLab角色（重啟遊戲生效）,Запретить персонажей FoxLab (требуется перезапуск),Zablokuj postacie FoxLab (wymaga restartu gry),Prohibir personajes de FoxLab (reiniciar el juego para aplicar),Banir personagens FoxLab (reinicie o jogo para aplicar),FoxLab-Charaktere verbieten (Neustart erforderlich),FoxLab Karakterlerini Yasakla (uygulamak için oyunu yeniden başlat),Bandisci personaggi FoxLab (riavvia il gioco per applicare)
FOXLAB_COOP_STEAL_HINT,Double press {0} to steal item,Appuyez deux fois sur {0} pour voler l'objet,双击{0}窃取物品,{0}をダブルクリックしてアイテムを盗む,{0}을(를) 두 번 눌러 아이템 훔치기,雙擊{0}竊取物品,Дважды нажмите {0} чтобы украсть предмет,Naciśnij dwukrotnie {0},Pulsa dos veces {0} para robar objeto,Pressione duas vezes {0} para roubar o item,{0} doppelt drücken zum Stehlen,Eşyayı çalmak için {0}'a iki bas,Premi due volte {0} per rubare l'oggetto
FOXLAB_CURSED_TEXT,Cursed,Maudit,被诅咒,呪われた,저주받음,被詛咒,проклятого,Przeklęty,Maldito,Amaldiçoado,Verflucht,Lanetli,Maledetto
EFFECT_FOXLAB_GET_ITEM,You will get {0} {1},Vous obtiendrez {0} {1},你将获得{0}{1},{0}{1}を獲得する,{0} {1}을(를) 획득합니다,你將獲得{0}{1},Вы получите {0} {1},Otrzymasz {0} {1},Obtendrás {0} {1},Você receberá {0} {1},Du erhältst {0} {1},{0} {1} alacaksın,Otterrai {0} {1}
CORRUPTED_TREE_NAME,Corrupted Tree,Arbre corrompu,被腐蚀的树,腐敗した木,부식된 나무,被腐蝕的樹,Осквернённое дерево,Skażone drzewo,Árbol Corrupto,Árvore Corrompida,Verderbter Baum,Bozulmuş Ağaç,Albero corrotto
